"code_unique","leaf_code","tree","cohort","leaf","sp","obs_date","Check list_SILVATECH","Comment","team_climbers","team_labecophysio","UC_Rank","code_unique...10","date_fluch_min","date_fluch_max","Age_leaf_max","Age_leaf_min","leaf_anat","leaf_thickness","leaf_area","leaf_drymass","LMA_leaf","Overlap","note_leafArea","code_unique...22","nb_tablets_LMA","tablet_diameter","tablet_dry_mass_1","tablet_dry_mass_2","LMA_lamina","Comment_Leaf_integrity_Scan","file_name_spectro","fv_/_fm","Co","phy_osmo","PTLP","Curve_Name_Li-6800","Author_adjustment_Li","Curve_adj._quality","gm","total number of points","nombre points enleves","sum of squares","Vcmax(25)","Jmax(25)","was TPU ignored while fitting ?","Comment_1","comments_Licor","comments fitting","code_unique_match","date","Age_leaf_mid","Age_leaf_range","SampleID_num.x","Vcmax25","Jmax25","TPU25","Rday25","StdError_Vcmax25","StdError_Jmax25","StdError_TPU25","StdError_Rday25","Tleaf.x","RHs","Qin.x","Patm","sigma","AIC","Model","Fitting_method","Nmass","Cmass","Smass","SampleID.x","Vcmax_Estimate","Jmax_Estimate","Rd_Estimate","Vcmax_Std. Error","Jmax_Std. Error","Rd_Std. Error","RMSE","Vcmax_QC","Jmax_QC","Vcmax_Estimate_tpu","Jmax_Estimate_tpu","Rd_Estimate_tpu","TPU_Estimate","Vcmax_Std.Error_tpu","Jmax_Std.Error_tpu","Rd_Std.Error_tpu","TPU_Std.Error","RMSE_tpu","TPU_improved_vcmax","TPU_improved_rmse","TPU_created_spuriousjmax","TPU_improved_both","useTPU","Vcmax_Estimate_final","Jmax_Estimate_final","Rd_Estimate_final","TPU_Estimate_final","Vcmax_Std.Error_final","Jmax_Std.Error_final","Rd_Std.Error_final","TPU_Std.Error_final","RMSE_final","filename","SampleID.y","obs","A","Ci","CO2_s","CO2_r","gsw","Pa","Qin.y","RHcham","Tleaf.y","SampleID_num.y","Narea","Carea","CNratio","Vcmax25mass","month","cica","vpd","g1.spots","julian_date","LMA_leaf_QC_dist","thickness_QC_dist","leaf_area_QC_dist","leaf_drymass_QC_dist","Narea_QC_dist","Nmass_QC_dist","Cmass_QC_dist","PTLP_QC_dist","Vcmax_Estimate_final_QC_dist","Jmax_Estimate_final_QC_dist","TPU_Estimate_final_QC_dist","QC_totals"
"1.1.1_20220215","1.1.1","1","1","1","Caryocar_glabrum","44607","ok",NA,"I.Clocher_&_G.Olivier","G.Olivier",1,"1.1.1_20220215","44403","44425",204,182,1,0.21,98.47,1.2444,126.373514776074,NA,"Full_leaf_w_petiole","1.1.1_20220215",1,0.8,0.0043,NA,85.5891719745223,"To Complete","1,2,3",0.791,618,-1.545,-1.91644,"NA","NA","NA","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA",TRUE,2022-02-15,193,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,45.92,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.769066720829,5803.07179851732,31.2380952380952,NA,"Feb",NA,NA,NA,46,0,0,0,0,0,0,0,0,NA,NA,NA,0
"1.1.1_20220712","1.1.1","1","1","1","Caryocar_glabrum","44754","ok",NA,"I.Clocher_&_J.Cazal","I.Clocher_&_L.Bonhomme",1,"1.1.1_20220712","44403","44425",351,329,1,0.1953,NA,NA,NA,NA,"One_leaflet_wo_petiolule, hence NA, but values on raw data for leaflet","1.1.1_20220712",2,0.8,0.0059,0.0052,110.46974522293,"To Complete","12,13,14",0.741,861,-2.1525,-2.42188,"caryocar_1 d 1.1","N.Besson","1","30","299","5","12.495760000000001",16.8430193512241,25.5425042635431,"yes",NA,NA,"QC OK, Fitting OK",TRUE,2022-07-12,340,22,"1",30.6694253964685,45.5577071215339,2.8826267859122,-0.507810182108007,0.385901210953571,0.260512086006859,0.0773815764846302,0.035684858838225,34.6519378670981,67.8531917610796,1200.00115853659,101.047220632155,0.215548652952244,-56.3819699481778,"Ac_Aj_Ap","A-Ci curve",1.22,49.24,0.26,"1.1.1_20220712",14.2745519749235,34.0999014810403,-0.544723037513989,0.321857831453,NA,0.0269014527836612,3.15791091195847,"good","good",14.2745519749235,34.1690414168411,-0.544723037513989,2.7751113816668,0.321857831453,NA,0.0269014527836612,NA,3.13748457254783,0,1,0,1,1,14.2745519749235,34.1690414168411,-0.544723037513989,2.7751113816668,0.321857831453,NA,0.0269014527836612,NA,3.13748457254783,"ACi_1.1.1_20220712.xlsx","1.1.1_20220712",64,4.90706016057527,262.866423811378,402.787428571429,416.484857142857,0.0610278822332095,101.041142857143,1199.99142857143,67.9549224178273,34.3818,1,NA,NA,40.3606557377049,NA,"Jul",0.967111820906541,1.75488126687433,38.9547778397315,193,NA,0,NA,NA,NA,0,0,0,0,0,0,0
"1.1.1_20221008","1.1.1","1","1","1","Caryocar_glabrum","44842","ok",NA,"N.Barbier_&_S.Fourtier","I.Marechaux",1,"1.1.1_20221008","44761","44782",81,60,0,0.21,30.876,0.3021,97.8429848425962,NA,"Full_leaf_w_petiole","1.1.1_20221008",NA,NA,NA,NA,NA,"To Complete","1,2,3",0.766,539,-1.3475,-1.75212,"Caryocar_1_1.1","N.Besson","1","30","299","4","30.654630000000001",12.8151658843327,31.6619906261093,"yes",NA,NA,"QC OK, Fitting OK",TRUE,2022-10-08,70.5,21,"2",39.5896137100226,98.9445614408083,NA,2.30240181690755,0.568869362670438,0.723810147456254,NA,0.126381879476864,31.0705899565045,69.5344085880173,1199.99818328814,100.988381580806,0.742849658611552,638.381053073587,"Ac_Aj","A-Ci curve",1.05,51.24,0.21,"1.1.1_20221008",27.7075522610658,77.9874088824733,2.75090366806271,0.664548337072422,NA,0.130898265649097,8.73836941338419,"good","good",27.7075522610658,77.9874088824733,2.75090366806271,NA,0.664548337072422,NA,0.130898265649097,NA,8.73836941338419,0,0,0,0,0,27.7075522610658,77.9874088824733,2.75090366806271,NA,0.664548337072422,NA,0.130898265649097,NA,8.73836941338419,"ACi_1.1.1_20221008.xlsx","1.1.1_20221008",64,8.17414795329925,359.946072288374,398.494875,412.84375,0.458881912029416,101.00375,1199.99875,69.886368858268,30.9736125,2,102.735134084726,5013.47454333463,48.8,0.283183840984001,"Oct",0.965243811974869,1.37262837714948,32.5372897376558,281,0,0,0,0,0,0,0,0,0,0,NA,0
"1.1.1_20221128","1.1.1","1","1","1","Caryocar_glabrum","28/11/2022","ok",NA,"I.Clocher_&_J.Cazal","I.Clocher_&_N.Besson",1,"1.1.1_20221128","44761","44782",132,111,1,0.181333333333333,49.293,0.5205,105.593086239425,NA,"Full_leaf_wo_petiole","1.1.1_20221128",2,0.8,0.0042,0.0046,87.5796178343949,"To Complete","1,2,3",0.77,605,-1.5125,-1.8894,"Caryocar_1.1.1b","N.Besson","1","30","300","0","12.50309",32.1348839917672,57.5633861938175,"no",NA,"Avant courbe A = 16 et gsw = 0.35, Courbe magnifique, plateau à A = 40","QC OK, Fitting parfais lorsqu'on ignore pas TPU, sinon les points de la courbes dyn ne s'alignent pas sur la courbe de regénération du Ru-BP",TRUE,2022-11-28,121.5,21,"3",116.664072470191,262.188955181626,11.8847978220622,-0.337518609168493,0.505952966744852,1.37514153695842,0.0313344857244252,0.0789652291908009,33.5176076406541,70.0496096246299,1200.00266494379,100.688146041631,0.517118974879817,436.813270236741,"Ac_Aj_Ap","A-Ci curve",1.17,49.47,0.19,"1.1.1_20221128",60.5885413025256,208.384217360627,-0.488873591652609,0.545412346677031,NA,0.0691155763319645,7.97793988527062,"good","good",60.5598457984522,210.528056175134,-0.492896197451559,13.2782914838806,0.538850443054327,NA,0.0689049021887925,NA,7.49726506039426,1,1,0,2,2,60.5598457984522,210.528056175134,-0.492896197451559,13.2782914838806,0.538850443054327,NA,0.0689049021887925,NA,7.49726506039426,"ACi_1.1.1_20221128.xlsx","1.1.1_20221128",64,18.2244803057136,278.861551577583,395.65775,413.6465,0.279762040481949,100.6895,1199.94875,70.3594030755224,33.4252,3,123.543910900128,5223.68997626438,42.2820512820513,0.573520937356984,"Nov",0.956511779986051,1.54996666116524,27.3829270348455,332,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1_20230216","1.1.1","1","1","1","Caryocar_glabrum","16/02/2023","ok",NA,"J.Cazal_&_C.Stahl","N.Besson",1,"1.1.1_20230216","44761","44782",212,191,0,0.216666666666667,64.632,1.0357,160.24569872509,"yes","Full_leaf_w_petiole","1.1.1_20230216",NA,NA,NA,NA,NA,"To Complete","1,2,3",0.824,598,-1.495,-1.87484,"Caryocar_1.1.1","N.Besson","1","25.939","231","21","4.4551270000000001",30.6194275115113,55.1638329990809,"no",NA,"Avant courbe A = 9.7, gsw = 0.295 Plateau à A = 17.3, courbe magnifique, Close Log à CO2_r = 1500 car plateau atteint","QC OK, Fitting OK",TRUE,2023-02-16,201.5,21,"4",46.7774279784526,86.8495698088678,5.07126370587956,-0.235968315933455,0.205540199373882,0.27318674004235,0.0165140702294244,0.0310052075607752,32.0798548958978,69.8635087271917,1200.00342120181,101.110679919948,0.193590772623029,-93.0597322590017,"Ac_Aj_Ap","A-Ci curve",1.22,45.33,0.24,"1.1.1_20230216",28.1241661086345,69.4045343756149,-0.306682216377723,0.275937447338868,NA,0.0364957120567821,2.78866281307175,"good","good",28.0808396281216,69.7722839970039,-0.311999357689622,5.59006262238002,0.276801394158358,NA,0.0370271644423338,NA,2.68701722567094,0,1,0,1,1,28.0808396281216,69.7722839970039,-0.311999357689622,5.59006262238002,0.276801394158358,NA,0.0370271644423338,NA,2.68701722567094,"ACi_1.1.1_20230216.xlsx","1.1.1_20230216",64.5,10.0600738261631,317.20269082439,396.431401785714,416.642892857143,0.23642001310357,101.109625,1200.0275,69.7245198658016,32.1183473214286,4,195.499752444609,7263.93752320832,37.155737704918,0.175236152056074,"Feb",0.951489653566804,1.4490023803734,23.6104488565351,47,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.2_20220215","1.1.2","1","1","2","Caryocar_glabrum","44607","ok",NA,"I.Clocher_&_G.Olivier","G.Olivier",1,"1.1.2_20220215","44403","44425",204,182,0,0.223333333333333,59.448,0.8579,144.310994482573,NA,"Two_leaflets_w_petiole_w_petiolules","1.1.2_20220215",NA,NA,NA,NA,NA,"To Complete","4,5,6",0.778,662,-1.655,-2.00796,"NA","NA","NA","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA",TRUE,2022-02-15,193,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,48.65,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.718072937693,7020.72988157718,38.0078125,NA,"Feb",NA,NA,NA,46,0,0,0,0,0,0,0,0,NA,NA,NA,0
"1.1.2_20220712","1.1.2","1","1","2","Caryocar_glabrum","44754","ok",NA,"I.Clocher_&_J.Cazal","I.Clocher_&_L.Bonhomme",1,"1.1.2_20220712","44403","44425",351,329,0,0.191,NA,NA,NA,NA,"One_leaflet_wo_petiolule","1.1.2_20220712",NA,NA,NA,NA,NA,"To Complete","15,16,17",0.659,734,-1.835,-2.15772,"caryocar_1 e 1.2","N.Besson","1","8.9309999999999992","224","8","19.47044",13.576806049744,28.3474682219099,"yes",NA,NA,"QC OK, Fitting OK",TRUE,2022-07-12,340,22,"5",25.4854485483423,50.2431560014249,NA,-0.387704205871124,0.277917338456267,0.327839100485309,NA,0.0465568347853535,34.5063576690051,67.9821608105698,1199.99943160077,101.031251116071,0.311844056310083,121.671745177837,"Ac_Aj","A-Ci curve",1.16,47.5,0.26,"1.1.2_20220712",11.7437985629949,37.7327722887631,-0.449309309197459,0.372572423926548,NA,0.054683919991418,4.6680588180429,"good","good",11.7437985629949,37.7327722887631,-0.449309309197459,NA,0.372572423926548,NA,0.054683919991418,NA,4.6680588180429,0,0,0,0,0,11.7437985629949,37.7327722887631,-0.449309309197459,NA,0.372572423926548,NA,0.054683919991418,NA,4.6680588180429,"ACi_1.1.2_20220712.xlsx","1.1.2_20220712",64,4.395255351369,249.407289890246,403.475142857143,416.428571428572,0.0491974044638253,101.035857142857,1200.05285714286,67.5215014923283,34.7160714285714,5,NA,NA,40.948275862069,NA,"Jul",0.968893996569467,1.78060423042125,41.5638481811601,193,NA,0,NA,NA,NA,0,0,0,0,0,NA,0
"1.1.2_20221008","1.1.2","1","1","2","Caryocar_glabrum","44842","ok",NA,"N.Barbier_&_S.Fourtier","I.Marechaux",1,"1.1.2_20221008","44761","44782",81,60,0,0.24,NA,NA,NA,NA,"One_leaflet_w_petiole","1.1.2_20221008",NA,NA,NA,NA,NA,"To Complete","4,5,6",0.818,559,-1.3975,-1.79372,"Caryocar_1_1.2","N.Besson","1","30","299","86","34.589230000000001",33.7792362598432,79.1766878627135,"yes",NA,"ATTENTION: il faut recalculer la surface de la feuille dans chambre, en prenant en compte trous dus à herbivorie !!! ==> cf scan.","QC OK, Fitting OK si on nettoie la courbe",TRUE,2022-10-08,70.5,21,"6",103.957381450076,316.505126614894,NA,4.48722069013388,1.29203479592983,4.02444905106384,NA,0.305989817917604,31.3981138716356,69.9459229443389,1199.99967875723,100.926270611031,2.33721837420635,1364.20413434241,"Ac_Aj","A-Ci curve",1.25,47.04,0.3,"1.1.2_20221008",66.583458644163,329.582652950142,4.77187263477367,1.93766788771044,NA,0.402918389948941,39.6553031978673,"good","good",66.583458644163,329.582652950142,4.77187263477367,NA,1.93766788771044,NA,0.402918389948941,NA,39.6553031978673,0,0,0,0,0,66.583458644163,329.582652950142,4.77187263477367,NA,1.93766788771044,NA,0.402918389948941,NA,39.6553031978673,"ACi_1.1.2_20221008.xlsx","1.1.2_20221008",64,8.54575110130492,229.131065876533,400.312375,413.84825,0.0845264299632838,100.934625,1199.99625,69.7568289701971,31.434,6,NA,NA,37.632,NA,"Oct",0.967292661017656,1.39004865576407,34.8680517384444,281,NA,0,NA,NA,NA,0,0,0,0,0,NA,0
"1.1.2_20221128","1.1.2","1","1","2","Caryocar_glabrum","28/11/2022","ok",NA,"I.Clocher_&_J.Cazal","I.Clocher_&_N.Besson",1,"1.1.2_20221128","44761","44782",132,111,0,0.177666666666667,34.919,0.4232,121.194765027635,NA,"Full_leaf_w_petiole","1.1.2_20221128",NA,NA,NA,NA,NA,"To Complete","4,5,6",0.787,681,-1.7025,-2.04748,"NA","NA","NA","NA","NA","NA","NA",NA,NA,"NA",NA,"NA","NA",TRUE,2022-11-28,121.5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,51.18,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.129299235373,6202.74807411438,39.984375,NA,"Nov",NA,NA,NA,332,0,0,0,0,0,0,0,0,NA,NA,NA,0
"1.1.2_20230216","1.1.2","1","1","2","Caryocar_glabrum","16/02/2023","ok",NA,"J.Cazal_&_C.Stahl","N.Besson",1,"1.1.2_20230216","44761","44782",212,191,1,0.234666666666667,35.546,0.5066,142.519552129635,NA,"Two_leaflets_wo_petioles","1.1.2_20230216",2,0.8,0.0049,0.0056,104.498407643312,"To Complete","4,5,6",0.813,618,-1.545,-1.91644,"Caryocar_1.1.2","N.Besson","1","10.43","224","27","4.4489099999999997",29.5174701261379,53.4968474232952,"no",NA,"Avant courbe A = 9.8, gsw = 0.270 Plateau à A = 16, courbe magnifique","QC OK, Fitting OK",TRUE,2023-02-16,201.5,21,"7",45.3216606442074,82.0728301635326,4.92756422944698,0.204242966929619,0.210876489252283,0.247984789594801,0.0281169550587924,0.0302687088156839,32.4756426250709,70.0432773223794,1199.99899491567,101.121549124858,0.185524645711984,-109.004770481951,"Ac_Aj_Ap","A-Ci curve",1.38,47.93,0.31,"1.1.2_20230216",26.0587887616692,65.3795843731203,0.157653371218001,0.306271917612326,NA,0.0390480761866334,2.76120131375385,"good","good",26.0587887616692,65.3795843731203,0.157653371218001,NA,0.306271917612326,NA,0.0390480761866334,NA,2.76120131375385,0,0,0,0,0,26.0587887616692,65.3795843731203,0.157653371218001,NA,0.306271917612326,NA,0.0390480761866334,NA,2.76120131375385,"ACi_1.1.2_20230216.xlsx","1.1.2_20230216",64,8.53711377174946,302.913990082466,395.1705,413.5955,0.168121833070581,101.11875,1199.995,70.0347112522327,32.6258375,7,196.676981938896,6830.9621335734,34.731884057971,0.182843605472225,"Feb",0.955451642970003,1.48221620861095,26.1115588016272,47,0,0,0,0,0,0,0,0,0,0,NA,0
