"SampleID","leaf_code","tree","cohort","leaf","obs_date","date","Vcmax_Estimate","Jmax_Estimate","Rd_Estimate","Vcmax_Std. Error","Jmax_Std. Error","Rd_Std. Error","RMSE","Vcmax_QC","Jmax_QC"
"1.1.1_20220712","1.1.1","1","1","1","20220712",2022-07-12,14.2745519749235,34.0999014810403,-0.544723037513989,0.321857831453,NA,0.0269014527836612,3.15791091195847,"good","good"
"1.1.1_20221008","1.1.1","1","1","1","20221008",2022-10-08,27.7075522610658,77.9874088824733,2.75090366806271,0.664548337072422,NA,0.130898265649097,8.73836941338419,"good","good"
"1.1.1_20221128","1.1.1","1","1","1","20221128",2022-11-28,60.5885413025256,208.384217360627,-0.488873591652609,0.545412346677031,NA,0.0691155763319645,7.97793988527062,"good","good"
"1.1.1_20230216","1.1.1","1","1","1","20230216",2023-02-16,28.1241661086345,69.4045343756149,-0.306682216377723,0.275937447338868,NA,0.0364957120567821,2.78866281307175,"good","good"
"1.1.2_20220712","1.1.2","1","1","2","20220712",2022-07-12,11.7437985629949,37.7327722887631,-0.449309309197459,0.372572423926548,NA,0.054683919991418,4.6680588180429,"good","good"
"1.1.2_20221008","1.1.2","1","1","2","20221008",2022-10-08,66.583458644163,329.582652950142,4.77187263477367,1.93766788771044,NA,0.402918389948941,39.6553031978673,"good","good"
"1.1.2_20230216","1.1.2","1","1","2","20230216",2023-02-16,26.0587887616692,65.3795843731203,0.157653371218001,0.306271917612326,NA,0.0390480761866334,2.76120131375385,"good","good"
"1.1.3_20230216","1.1.3","1","1","3","20230216",2023-02-16,24.7337835327754,62.9174713425902,0.17829133185329,0.203935685130721,NA,0.0289148731876608,2.87504259802778,"good","good"
"10.1.1_20221011_attention_surface","10.1.1","10","1","1","20221011",2022-10-11,47.2795671218242,178.082365355737,1.01658524862978,0.526675475663181,NA,0.0807359669857178,10.09423178462,"good","good"
"10.1.2_20221207","10.1.2","10","1","2","20221207",2022-12-07,46.5214121616347,245.221797927395,3.46055170561964,0.483408520429448,NA,0.0959659998930497,11.0361889502613,"good","good"
"10.2.1_20221011","10.2.1","10","2","1","20221011",2022-10-11,28.0279801987086,99.9855773465954,2.77411466557645,1.21636710243084,NA,0.196891313441116,21.748775959401,"good","good"
"10.2.2_20221011","10.2.2","10","2","2","20221011",2022-10-11,40.0932060848499,130.097359911969,3.66460396111382,1.45975607574207,NA,0.149510881741831,20.1488589793593,"good","good"
"12.1.1_20220630","12.1.1","12","1","1","20220630",2022-06-30,15.4394179306262,52.1032675641978,0.19374710738326,0.17194207433057,NA,0.0311750446187787,3.58848389465457,"good","good"
"12.1.1_20220725","12.1.1","12","1","1","20220725",2022-07-25,24.8081636472058,54.4662696716334,-1.12755459723019,3.95133074277884,NA,0.186811913888593,21.9520116129444,"good","good"
"12.1.1_20230306","12.1.1","12","1","1","20230306",2023-03-06,25.1604341635392,70.1131708098351,0.623668679836212,0.262785931423025,NA,0.0463963141803269,3.48011080855446,"good","good"
"12.1.2_20221017","12.1.2","12","1","2","20221017",2022-10-17,19.6970072686637,59.8319782839063,-0.113740766707329,0.407168244889366,NA,0.0528489592263223,6.66736193607794,"good","good"
"12.1.2_20221205","12.1.2","12","1","2","20221205",2022-12-05,71.6800884897226,222.460310006732,0.376489154704018,0.675429516546302,NA,0.0699707420705185,21.9382417978627,"good","good"
"12.1.2_20230306","12.1.2","12","1","2","20230306",2023-03-06,30.6241244592317,79.6889007901288,0.568209004881694,0.161461222405525,NA,0.024674378549883,3.1406518511272,"good","good"
"12.1.3_20220630","12.1.3","12","1","3","20220630",2022-06-30,16.5384012383082,39.1679386463299,0.0430613166943197,0.436156165083449,NA,0.0512030063216294,9.0804222700024,"good","good"
"12.1.3_20220725","12.1.3","12","1","3","20220725",2022-07-25,10.2950377822139,39.5199668029659,-0.0902795048887651,1.29297292108626,NA,0.152805417684441,16.181748445373,"good","good"
"12.1.3_20221205","12.1.3","12","1","3","20221205",2022-12-05,56.2016770401349,157.116601746648,0.505656617725762,0.877032603285974,NA,0.0785815536899128,38.0599760917498,"good","good"
"12.1.3_20230306","12.1.3","12","1","3","20230306",2023-03-06,22.1654425015968,53.8703114209287,0.482189074101436,0.216937575257571,NA,0.0297112247323703,3.58474606103684,"good","good"
"12.2.1_20221205","12.2.1","12","2","1","20221205",2022-12-05,36.9343248359182,121.067235116067,2.32268066110744,1.34599581501992,NA,0.20986534651586,24.3280992694367,"good","good"
"12.2.2_20221205","12.2.2","12","2","2","20221205",2022-12-05,41.4731446156272,123.411281212619,0.589751421856834,0.679436086552912,NA,0.0769200197966731,8.36588445985765,"good","good"
"13.1.1_20221123","13.1.1","13","1","1","20221123",2022-11-23,36.9165283280046,120.364869060354,1.34840574627963,0.677538103017546,NA,0.0969069373436087,9.85621300883276,"good","good"
"13.1.2_20221123","13.1.2","13","1","2","20221123",2022-11-23,24.3477206981754,91.0824420467446,1.00223980512154,0.481325743432323,NA,0.0862231109656107,8.68055789361056,"good","good"
"13.1.3_20221018","13.1.3","13","1","3","20221018",2022-10-18,21.5653785088641,65.8499362972832,0.0772306353182954,0.26725545835754,NA,0.0363686317679023,3.4304717152008,"good","good"
"13.1.3_20221123","13.1.3","13","1","3","20221123",2022-11-23,28.5479256702746,97.2937058285777,1.07659610576889,0.630904056535189,NA,0.0956990153340842,7.07411100374752,"good","good"
"14.1.1_20220720","14.1.1","14","1","1","20220720",2022-07-20,22.8402094726185,47.8470772205186,-0.223865439636062,0.417503567343413,NA,0.0341876283450009,5.76614525827915,"good","good"
"14.1.1_20221009","14.1.1","14","1","1","20221009",2022-10-09,41.3726290594079,123.339394732566,5.14036026398006,0.655499033345558,NA,0.115163181749039,10.175338407943,"good","good"
"14.1.1_20230209","14.1.1","14","1","1","20230209",2023-02-09,33.8090050319415,80.1766825051285,0.0625621519839536,0.227422092075936,NA,0.027527788162981,5.69421709598229,"good","good"
"14.1.2_20220720","14.1.2","14","1","2","20220720",2022-07-20,19.5405939383044,48.1825299782291,0.815597696157182,0.390730376645829,NA,0.0391383093204289,2.73749094338239,"good","good"
"14.1.2_20221009","14.1.2","14","1","2","20221009",2022-10-09,14.3264940947131,51.0066047984412,3.98020149530118,0.367671807137563,NA,0.0883898812314568,7.44414940523704,"good","good"
"14.1.2_20230209","14.1.2","14","1","2","20230209",2023-02-09,30.0639542670179,73.9570928728347,0.531783058240951,0.191767307556378,NA,0.0251795271192555,3.46300213454849,"good","good"
"14.1.3_20220720","14.1.3","14","1","3","20220720",2022-07-20,18.6548207335164,36.3338464102953,-0.571784402909646,0.241548977130588,NA,0.0151890773015944,4.51495330297419,"good","good"
"14.1.3_20221009","14.1.3","14","1","3","20221009",2022-10-09,21.326318407415,65.2259392181548,4.54952135430751,0.426867077251259,NA,0.0892917356659678,7.55658211383897,"good","good"
"14.1.3_20230209","14.1.3","14","1","3","20230209",2023-02-09,33.6340454352725,78.5833749052275,0.679858896627474,0.307125767866053,NA,0.0372945050287285,8.52657346376724,"good","good"
"15.1.1_20220720","15.1.1","15","1","1","20220720",2022-07-20,26.8661249323422,66.4510143318846,0.420418906681189,0.473022532677508,NA,0.0524569491919386,4.14951887500434,"good","good"
"15.1.1_20221009","15.1.1","15","1","1","20221009",2022-10-09,69.8613961007242,238.871098995184,3.60115605468265,1.01198397874921,NA,0.157531410521464,10.5078147339514,"good","good"
"15.1.1_20221123","15.1.1","15","1","1","20221123",2022-11-23,24.1675965265405,72.7878728438957,-0.267857857448481,0.77100791524411,NA,0.120328210614192,9.78814513649949,"good","good"
"15.1.1_20221213","15.1.1","15","1","1","20221213",2022-12-13,43.1412108511783,124.853693371761,0.770773384511607,0.54287156306743,NA,0.0830820364581962,7.46073006252279,"good","good"
"15.1.1_20230209","15.1.1","15","1","1","20230209",2023-02-09,34.7960197070074,90.7641742211908,0.457175966547464,0.299358492566148,NA,0.0436669691192427,3.95233544500757,"good","good"
"15.1.2_20220720","15.1.2","15","1","2","20220720",2022-07-20,32.3859283587122,94.0479802035259,0.93957407450687,0.724789604606041,NA,0.0945474087447934,7.23447930169193,"good","good"
"15.1.2_20221123","15.1.2","15","1","2","20221123",2022-11-23,35.4686087920685,109.927436142145,-0.177049119792094,0.443842678687961,NA,0.0648889373658453,7.47835593087173,"good","good"
"15.1.2_20221213","15.1.2","15","1","2","20221213",2022-12-13,48.5184781273891,151.133395241079,0.792344452760307,0.573591504759992,NA,0.0883608948715025,7.77224379812228,"good","good"
"15.1.2_20230209","15.1.2","15","1","2","20230209",2023-02-09,32.0126764193835,92.1419575501896,0.0237484482409232,0.3716494226914,NA,0.0590658830016875,6.19586956572304,"good","good"
"15.1.3_20220720","15.1.3","15","1","3","20220720",2022-07-20,21.9782771966774,77.2639029397861,1.12469766422471,0.329713692605201,NA,0.0529296545480906,4.39042701894622,"good","good"
"15.1.3_20221009","15.1.3","15","1","3","20221009",2022-10-09,72.7911503843107,251.138580920646,4.48447165489266,0.734963686581582,NA,0.124425655761801,8.58786178260415,"good","good"
"15.1.3_20221123","15.1.3","15","1","3","20221123",2022-11-23,31.6242107860905,107.03313469476,-0.190377309489336,0.435095720231764,NA,0.0844308965798176,8.66042835147327,"good","good"
"15.1.3_20221213","15.1.3","15","1","3","20221213",2022-12-13,32.9404070275208,133.593540799101,0.716664818048812,0.506196396629387,NA,0.107546906385245,11.2419057611478,"good","good"
"15.1.3_20230209","15.1.3","15","1","3","20230209",2023-02-09,32.2882001323589,86.7127721269668,0.0973342850939828,0.2334170342516,NA,0.0338523051813981,2.57217562239154,"good","good"
"16.1.1_20230124","16.1.1","16","1","1","20230124",2023-01-24,20.0808142615169,42.0449734121289,1.40948269069896,0.568804969070048,NA,0.060464730032017,6.35928401750158,"good","good"
"16.1.2_20230124","16.1.2","16","1","2","20230124",2023-01-24,33.8851022643643,59.5140497990462,-0.843395870159868,3.9207053004339,NA,0.206378258921825,31.1847324644894,"good","good"
"16.1.3_20221014","16.1.3","16","1","3","20221014",2022-10-14,20.2292483364169,76.5874560349399,0.361276595817595,0.235882351103984,NA,0.0504668501771479,7.74161415288755,"good","good"
"16.1.3_20230124","16.1.3","16","1","3","20230124",2023-01-24,30.1745906773312,72.1908513856129,0.683844590017665,1.63792505752069,NA,0.170427312119845,14.9484629518726,"good","good"
"16.2.1_20221014","16.2.1","16","2","1","20221014",2022-10-14,5.62032874817295,19.7717958077692,-0.0334561080140412,0.176922083433006,NA,0.0312018704124912,2.6633891311702,"good","good"
"17.1.1_20220712","17.1.1","17","1","1","20220712",2022-07-12,14.0632022933788,46.1384115792045,0.350508025544621,0.166247373752105,NA,0.0354379645425445,3.34796985507006,"good","good"
"17.1.1_20230124","17.1.1","17","1","1","20230124",2023-01-24,21.0313500579514,45.9624052824028,0.543418219440832,0.76154434391898,NA,0.0851094328458701,10.5177181200858,"good","good"
"17.1.2_20220712","17.1.2","17","1","2","20220712",2022-07-12,27.1303733887262,69.2547070868938,0.0140767470484408,0.390716495788349,NA,0.0488571780861561,7.52143974224623,"good","good"
"17.1.2_20221006","17.1.2","17","1","2","20221006",2022-10-06,13.4528894147497,39.6813657978191,-0.687663199890259,0.327276489182258,NA,0.0416568627296373,4.81475508241952,"good","good"
"17.1.2_20230124","17.1.2","17","1","2","20230124",2023-01-24,29.5190821790645,70.4172149472145,1.24060169946012,0.704534520391478,NA,0.0753427632361102,14.8788859100438,"good","good"
"17.1.3_20221006","17.1.3","17","1","3","20221006",2022-10-06,42.2739073583342,133.561202053176,-0.363784180655812,0.661453201280771,NA,0.0834707745475981,11.8948224536319,"good","good"
"17.1.3_20230124","17.1.3","17","1","3","20230124",2023-01-24,26.3641634133207,53.9457811909707,0.690031472853317,1.06696736530617,NA,0.0827599043437253,17.2155445473501,"good","good"
"18.1.1_20220707","18.1.1","18","1","1","20220707",2022-07-07,25.6955332437411,85.4725218197327,0.269391550234708,0.202075168060884,NA,0.0348999516183731,5.38307268767366,"good","good"
"18.1.2_20220707","18.1.2","18","1","2","20220707",2022-07-07,29.3301596098697,94.3649723078657,0.360880676006547,0.440711486514493,NA,0.0784968038573434,5.10360745808754,"good","good"
"18.1.3_20220707","18.1.3","18","1","3","20220707",2022-07-07,32.2900909803362,94.780848595294,0.341184389511655,0.408166004997933,NA,0.0616075591293059,4.98910508888029,"good","good"
"18.1.3_20230124","18.1.3","18","1","3","20230124",2023-01-24,8.50926270229679,20.0556687462017,0.237360728687554,0.44768072194369,NA,0.0522855270692675,4.51198126903822,"good","good"
"19.1.1_20221006","19.1.1","19","1","1","20221006",2022-10-06,29.3971981485439,25.4901860760178,-0.550490574408958,114.99721048745,NA,1.46209840529546,6.90235800867501,"bad","good"
"19.1.1_20221130","19.1.1","19","1","1","20221130",2022-11-30,63.7394461407754,132.086548464729,2.38894236759141,3.85351218258071,NA,0.361953308212749,35.0451615675047,"good","good"
"19.1.1_20230216","19.1.1","19","1","1","20230216",2023-02-16,20.1631360445024,49.9282508154246,-0.333758835644429,0.411472772631695,NA,0.0555329114254197,4.38574878767223,"good","good"
"19.1.2_20221130","19.1.2","19","1","2","20221130",2022-11-30,43.3660250579874,149.698968744803,0.0104157077773107,2.2126231652074,NA,0.339878008124756,51.9186326395804,"good","good"
"19.1.2_20230216","19.1.2","19","1","2","20230216",2023-02-16,27.9938862805434,71.7983314480233,0.539880229379432,0.402078561328403,NA,0.0519665682769115,7.56249749568001,"good","good"
"19.1.3_20230216","19.1.3","19","1","3","20230216",2023-02-16,22.2069052192661,54.5329394299412,0.423948502096433,1.34420764709199,NA,0.130083077430666,10.4848762994395,"good","good"
"19.2.2_20221130","19.2.2","19","2","2","20221130",2022-11-30,37.1217490505563,111.829594254356,0.235448104175029,0.565291485343239,NA,0.0821727803455,7.83178369997249,"good","good"
"2.1.1_20221008","2.1.1","2","1","1","20221008",2022-10-08,62.1265477726084,184.109724511442,4.97672422000766,1.29407932648336,NA,0.192287513888937,13.4974744633128,"good","good"
